Tool Name,Location,Year,Tracks,Speakers,Github URL,Description,Path
"GodPotato: As Long as You Have the ImpersonatePrivilege Permission, Then You are the SYSTEM!",Asia,2023,Exploitation and Ethical Hacking,yichen zhang; Linhong Cao,https://github.com/beichendream/godpotato,"Based on the history of Potato privilege escalation for 6 years, from the beginning of RottenPotato to the end of JuicyPotatoNG, I discovered a new technology by researching DCOM, which enables privilege escalation in Windows 2012 - Windows 2022, now as long as you have ""ImpersonatePrivilege"" permission. Then you are ""NT AUTHORITY\SYSTEM"", usually WEB services and database services have ""ImpersonatePrivilege"" permissions. Potato privilege escalation is usually used when we obtain WEB/database privileges. We can elevate a service user with low privileges to ""NT AUTHORITY\SYSTEM"" privileges. However, the historical Potato has no way to run on the latest Windows system. When I was researching DCOM, I found a new method that can perform privilege escalation. There are some defects in rpcss when dealing with oxid, and rpcss is a service that must be opened by the system. , so it can run on almost any Windows OS, I named it GodPotato",tools/Asia/2023/godpotato-as-long-as-you-have-the-impersonateprivilege-permission-then-you-are.json
"Hands-on RFID: Sniff it, crack it, clone it",Asia,2023,Arsenal Lab,Kelvin Wong; Dennis Goh,https://github.com/b04zdotcom/rfid-hacking-cloning,"RFID technology is everywhere – used in anything from hotel room cards, office access, inventory management and more. The technology is inexpensive and versatile, but also insecure when used incorrectly. Swing by our talk to get hands-on sniffing, cloning, cracking, and emulating everyday real uses of RFID technology.",tools/Asia/2023/hands-on-rfid-sniff-it-crack-it-clone-it.json
ICS Forensics Tool,Asia,2023,Smart Grid/Industrial Security,Ori Perez; yogev shitrit,https://github.com/microsoft/ics-forensics-tools,"ICS Forensics Tools is an open source forensic toolkit for analyzing Industrial PLC metadata and project files. Microsoft ICS Forensics Tools enables investigators to identify suspicious artifacts on ICS environment for detection of compromised devices during incident response or manual check. ICS Forensics Tools is open source, which allows investigators to verify the actions of the tool or customize it to specific needs, currently support Siemens S7.",tools/Asia/2023/ics-forensics-tool.json
Interactive Kubernetes Security Learning Playground - Kubernetes Goat,Asia,2023,Exploitation and Ethical Hacking,Madhu Akula,https://github.com/madhuakula/kubernetes-goat,"Kubernetes Goat is an interactive Kubernetes security learning playground. It has intentionally vulnerable by design scenarios to showcase the common misconfigurations, real-world vulnerabilities, and security issues in Kubernetes clusters, containers, and cloud native environments. It's tough to learn and understand Kubernetes security safely, practically, and efficiently. So here we come to solve this problem not only for security researchers but also to showcase how we can leverage it for attackers, defenders, developers, DevOps teams, and anyone interested in learning Kubernetes security. We are also helping products & vendors to showcase their product or tool's effectiveness by using these playground scenarios and also help them to use this to educate their customers and organizations. This project is a place to share knowledge with the community in well-documented quality content in hands-on scenario approaches.",tools/Asia/2023/interactive-kubernetes-security-learning-playground-kubernetes-goat.json
Introducing the Operating System for Automotive Security Testing: A Hands-on Demonstration,Asia,2023,Hardware/Embedded,RAVI RAJPUT,,"Automotive security is a critical concern as vehicles become more connected and autonomous. To ensure the security of these systems, specialized operating systems are needed for testing and evaluating their vulnerabilities. Our presentation introduces a new operating system for automotive security testing, designed specifically for this purpose. This operating system includes a range of tools and features that are essential for testing the security of automotive systems, such as support for different communication protocols and hardware interfaces. In particular, it includes tools for testing BLE, WiFi, and automotive ethernet, as well as a CAN testing setup. In addition to these features, the operating system includes automation tools and a test lab to allow attendees to practice and apply their knowledge. This makes it an ideal platform for hands-on learning and experimentation. By using this operating system, attendees will be able to test the security of their automotive systems and identify potential vulnerabilities. They will also gain practical experience in using the tools and techniques needed to secure these systems and prevent attacks. Overall, our presentation provides a valuable resource for anyone interested in securing the increasingly complex and connected systems found in modern vehicles. By understanding the capabilities and limitations of this operating system, attendees will be better equipped to secure their own automotive systems and prevent vulnerabilities.",tools/Asia/2023/introducing-the-operating-system-for-automotive-security-testing-a-hands-on.json
KernelGoat,Asia,2023,Exploitation and Ethical Hacking,Shivankar Madaan,https://github.com/Rnalter/KernelGoat,"""KernelGoat is a 'Vulnerable by Design' Linux kernel environment to learn and practice Kernel security issues""",tools/Asia/2023/kernelgoat.json
KICS - Your IaC Secure Now!,Asia,2023,Vulnerability Assessment,Nuno Oliveira; Joao Reigota,https://github.com/Checkmarx/kics,"KICS stands for Keeping Infrastructure as Code Secure. It is open source and is a must-have for any cloud native project to find security vulnerabilities, compliance issues, and infrastructure misconfigurations early in the development cycle of the underlying infrastructure-as-code (IaC). KICS supports about 20 different technologies including Terraform, Cloudformation, Kubernetes, Docker, over several cloud providers like AWS, Microsoft Azure or Google Cloud. It is the only open-source project that has achieved any Center for Internet Security (CIS) certification. KICS is fully customizable and extensible by the addition of rules for new vulnerabilities. It is available as a Docker image, and is paired in multiple platforms to leverage its integration on the development life-cycle and the DevSecOps mentality of its users. Gitlab has chosen KICS as its default IaC scanner; it is also available in ArgoHub, as a hook in TerraformCloud or as a Github Action for Github workflows. One of the most recent features of KICS is auto remediation. With this feature KICS goes full cycle in preventing vulnerable code from going into production by scanning the code, exposing the issues, and automatically remediating them. Such a feature is both available from the CLI interface, or via a plugin for the Visual Studio Code editor, where we bring together auto-remediation and real-time scanning. As the developer writes IaC scripts, KICS automatically looks for vulnerabilities, proposes fixes and remediates them. By the time the IaC scripts are finished, developers are rest assured that it is safe to go into production. This is shift-left security brought to its splendor.",tools/Asia/2023/kics-your-iac-secure-now.json
MemTracer: Hunting for Forensic Artifacts in Memory,Asia,2023,Data Forensics/Incident Response,May Alsaif,https://github.com/mayhamad/memtracer,"MemTracer is a tool that offers live memory analysis capabilities, allowing digital forensic practitioners to discover and investigate stealthy attack traces hidden in memory. Advanced persistence threat (APT) adversaries use stealthy attack tactics that only leave volatile short-lived memory evidence. The reflective Dynamic-Link Library (DLL) load technique is considered one of the stealthiest attack techniques. Reflective DLL load allows adversaries to load malicious code directly into memory, rather than loading a file from the disk. Thus, reflective DLL load leaves no digital evidence present on the disk. The malicious DLL continues to execute as long as the compromised process is running. Terminating a compromised process leads to the removal of the malicious DLL from memory, and the release of the memory region back to the pool for reallocation. Therefore, memory needs to be examined periodically in order to detect the existence of a malicious DLL that loaded reflectively into memory. Loading DLL reflectively produces an unusual memory region's characteristics that can indicate its existence. The MemTracer tool was developed to efficiently scan memory regions to detect reflective DLL loading symptoms. Mainly, MemTracer aims to detect native .NET framework DLLs that are loaded reflectively. Additionally, MemTracer provides the ability to search for a specific loaded DLL by name, which can retrieve the list of processes that have abnormally loaded the specified module for further investigation.",tools/Asia/2023/memtracer-hunting-for-forensic-artifacts-in-memory.json
Mr.SIP: The Ultimate SIP-Based Penetration Testing Tool for VoIP Systems,Asia,2023,Network Attacks,Ismail Melih Tas; Neslisah Topcu,https://github.com/meliht/mr.sip,"Mr.SIP is a cutting-edge penetration testing tool designed specifically for VoIP systems. It is the most advanced and comprehensive offensive security tool available in the market for VoIP systems. Developed to assist security experts and system administrators in assessing the security of their VoIP systems and evaluating potential risks, Mr.SIP Pro offers a wide range of features to aid in this process. Mr.SIP Pro enables users to discover VoIP servers and active users on the network, intercept and manipulate call data, crack user passwords, and identify and report on security vulnerabilities, exploits, and misconfigurations. It also provides a framework for creating advanced, stateful attack scenarios, such as stateful TDoS (Telephony Denial of Service) attacks. Additionally, it allows users to test the server's protocol stack for undiscovered zero-day vulnerabilities by sending irregular messages. With Mr.SIP Pro, security experts and system administrators can have complete visibility and control over their VoIP systems, enabling them to proactively identify and mitigate potential threats.",tools/Asia/2023/mr-sip-the-ultimate-sip-based-penetration-testing-tool-for-voip-systems.json
N3XT G3N WAF 2.0,Asia,2023,Web AppSec,Pengfei Yu; Bosen Zhang,https://github.com/FA-PengFei/NGWAF,"Previously, we introduced N3XT G3N WAF (NGWAF) 1.0 at BHUSA 2022. The novel WAF 3.0 tool that seeks to relieve complex and difficult WAF detection mechanism with detection utilising a Sequential Neural Network (SNN) and traps attackers through a custom honeypotted environment. These assets are all dockerised for scalability. However, further experiments have proven that a SNN may not be the most optimal when it comes down to contextualised defence as it processes information in a step by step and sequential manner. It gets relatively cumbersome and ineffective detecting chained or contexualised attacks. Both of which are extremely common in today's attacks. Thus, we took another approach by swapping out our ""brains"". We revamped the SNN and went with a Recurrent Neural Network (RNN). The RNN is a much better choice for contextualised defense as the output of each layer is fed back as the input of the same layer. Thus, this allows the network to maintain a ""memory"" of the data it has processed. Our latest model is a RNN with a bi-directional LSTM module, it has an accuracy of 0.995 and a f1 score of 0.993. We have also upgraded NGWAF's scalability in model deployment, model maintenance and the overall detection pipeline. This is all done with cloudifying the operations of the entire Machine Learning detection module. As compared to version 1.0 where users have to install and run the entire framework on their local system, NGWAF 2.0 has employed Infrastructure-as-Code (IaC) scripts, which auto-deploys the machine learning model's training & maintenance pipeline onto AWS resources (Sagemaker). The detection module has also been shifted from local deployment to AWS Sagemaker where we are able to standardise the hardware utilised for the ML model. This also allows further decoupling of the detection module from the rest of the system and allow for greater customisability. BHUSA 2022 - Version 01: (https://blackhat.com/us-22/arsenal/schedule/index.html#nxt-gn-waf-ml-based-waf-with-retraining-and-detainment-through-honeypots-26609)",tools/Asia/2023/n3xt-g3n-waf-2-0.json
Nightingale: Docker for Pentesters,Asia,2023,Vulnerability Assessment,Raja Nagori,https://github.com/RAJANAGORI/Nightingale,"Have you ever been encounter where you configured the security virtual envieonment in the virtualbox and after someday the VM got crashed. All your configuration, tool setup, important information about the taget, POC's and what not, all will be gone and you can't recover the same. With the same problem, I created the Nightingale based on the docker technology which provides you the exact security environment where you can expreicne the tools which a pentesters required at the time of pentesting. Adding to this, you no need to worry about your data, configuration and all other important. Nightingale will automatically restore the configuration once the new container will be up.",tools/Asia/2023/nightingale-docker-for-pentesters.json
Osiris-Framework: A Scalable Tool for Penetration Testing and Vulnerability Assessment on Cross-Platform Systems,Asia,2023,Exploitation and Ethical Hacking,Luis Eduardo Jacome Valencia; Samir Sanchez Garnica,https://github.com/osiris-framework/osiris-framework,"Abstract—Osiris-Framework V1.337 is an open-source project designed to assist security researchers in penetration testing and vulnerability assessment exercises through unique features such as 0-days and helpers, custom-made modules, and the ability to provide valuable information about vulnerabilities in a specific target. Additionally, the framework can be executed in multi-platform systems which allows security researchers to perform audits from geographically widespread locations.",tools/Asia/2023/osiris-framework-a-scalable-tool-for-penetration-testing-and-vulnerability.json
PoC Attack Against Flying Drone,Asia,2023,Hardware/Embedded,Kelvin Wong,https://github.com/SSHad0w/drone-pwn,"Advancements in UAV technology are opening new opportunities and applications in various fields of life. However, these advancements are also causing new challenges in terms of security, adaptability, and consistency. Especially the small drones are even suffering from architectural issues and the definition of security and safety issues. Most of the UAS system are using 2.4 or 5.8Ghz for remote connection and video transmission. Counter UAS units always purchase very expensive anti-drone or detection system, eg drone gun. To review the applicability, our team developed an open-source hand crafted device to achieve the task. During the demonstration, DJI smart drone and some custom-made FPV drone will be the target of the attack",tools/Asia/2023/poc-attack-against-flying-drone.json
Post-Quantum Cryptography Library,Asia,2023,Cryptography,Sagar Bhure; Shain Singh,,"This library provides a convenient way for developers to integrate post-quantum cryptography into their applications, helping to protect sensitive information from potential quantum computing attacks. We present f5oqs_sdk, a Python 3 library that wraps the liboqs C library, which is part of the Open Quantum Safe (OQS) project. The OQS project aims to develop and prototype quantum-resistant cryptography. The f5oqs_sdk offers a unified API for post-quantum key encapsulation and digital signature schemes, as well as a collection of open-source implementations of post-quantum cryptography algorithms. It also provides support for alternative RNGs through the randombytes[] functions. The library is available on PyPI and can be easily installed with pip. The paper provides a brief overview of the installation process and usage of the library, along with examples of how to use the API. f5oqs_sdk is a powerful tool for developers who want to integrate post-quantum cryptography into their applications. It provides a unified and easy-to-use API for implementing quantum-resistant cryptography, helping to protect sensitive information from potential quantum computing attacks.",tools/Asia/2023/post-quantum-cryptography-library.json
Prediction System for Lateral Movement Based on ATT&CK Using Sysmon,Asia,2023,Data Forensics/Incident Response,Yukihiro Kozai; Koki Watarai; Takuho Mitsunaga,https://github.com/Yukhy/Prediction-System-for-Lateral-Movement-based-on-ATT-CK-using-Sysmon,"This tool converts Windows logs collected by Sysmon into MITER ATT&CK Technique and allows us to refer to attack types and progress based on the ATT&CK structure. In a company network, when we detect that a device has been infected with malware, it is not easy to find other infected devices, and we consume a lot of human resources and time. With this tool, we can grasp the possibility of infection to other devices and the progress of attack using ATT&CK and statistical methods based on the Sysmon log. Furthermore, this tool automatically converts aggregated Sysmon logs into ATT&CK Technique using Atomic Red Team's library. The converted information is visualized in a list format or colored in the ATT&CK Matrix. It is beneficial when significant and chaotic logs can be transformed into a clear cybersecurity knowledge base format in a few moments. The tool is also helpful for real-world anomaly detection and cybersecurity learning. We will provide this tool as a Web application and publish its source code on GitHub.",tools/Asia/2023/prediction-system-for-lateral-movement-based-on-att-ck-using-sysmon.json
Purple Knight,Asia,2023,Vulnerability Assessment; Network Defense,Jacqueline Young,https://github.com/Purple-Knight,"Business applications on-premises and in the cloud rely on Active Directory (AD) and Azure Active Directory for authentication, making it a critical piece of IT infrastructure. But securing Active Directory is difficult given its constant flux, its sheer number of settings, and the increasingly sophisticated threat landscape. This creates potential exploitable Indicators of Exposure in AD, and if you have or had a bad actor in your AD you will want to understand the Indicators of Compromise (IOCs) which is the evidence an attacker is there. In this session, we will talk about the Purple Knight freeware tool by Semperis which helps organizations understand the security posture of their hybrid Active Directory as it pertains to IOEs and IOCs.",tools/Asia/2023/purple-knight.json
PurpleSharp: Automated Adversary Simulation,Asia,2023,Network Defense,Mauricio Velazco,https://github.com/mvelazc0/purplesharp,"Defending enterprise networks against attackers continues to present a difficult challenge for blue teams. Prevention has fallen short; improving detection & response capabilities has proven to be a step in the right direction. However, without the telemetry produced by adversary behavior, building and testing detection capabilities will be a challenging task. PurpleSharp is an open-source adversary simulation tool written in C# that executes adversary techniques against Windows environments. The resulting telemetry can be leveraged to measure and improve the efficacy of a detection program. PurpleSharp executes different behavior across the attack lifecycle following the MITRE ATT&CK Framework’s tactics: execution, persistence, privilege escalation, credential access, lateral movement, etc.",tools/Asia/2023/purplesharp-automated-adversary-simulation.json
PyExfil - A Python Data Exfiltration & C2 Framework,Asia,2023,Cryptography,Yuval Nativ,https://github.com/ytisf/PyExfil,"PyExfil is a python data exfiltration package. It is currently an open source package allowing everyone to download, use and edit the code. It has several modules classified in 4 types of data exfiltration purposes. It is designed to enable Security personnel to test their Data Leakage Prevention mechanisms by attempting to leak various types of data and examine alerting and prevention mechanisms employed in their infrastructure.",tools/Asia/2023/pyexfil-a-python-data-exfiltration-c2-framework.json
Remove-Signature,Asia,2023,Malware Offense,Yuya Chudo,https://github.com/temp43487580/Remove-Signature,"Remove-Signature is a tool designed to automate the process of generating a payload that can bypass anti-virus detection. During red team testing, red team operators often need to prepare a payload that will not be detected by anti-virus software in order to be successful. One way to do this is to identify where the signatures used by anti-virus software are located in the payload, and then modifies bytes of the locations so that the modified payload will not be detected as malicious. This process can be time-consuming. Remove-Signature aims to automate this process by identifying the signatures in the payload, and modifying a single byte of the signatures location in a way that will bypass anti-virus detection, while still maintaining the functionality of the payload. The tool understands the PE file format and only makes modifications that will not affect the payload's functionality. Unlike other existing tools that can only identify signatures, Remove-Signature is able to automatically generate a modified payload that can evade anti-virus detection. The use of Remove-Signature can help to reduce the workload of red team operators and allow them to focus on other aspects of the red team engagement.",tools/Asia/2023/remove-signature.json
reNgine: An Open-Source Automated Reconnaissance/Attack Surface Management tool,Asia,2023,Web AppSec,Yogesh Ojha,https://github.com/yogeshojha/rengine,"reNgine is an open-source automated reconnaissance framework, that helps quickly discover the attack surface using highly customizable and powerful scan engines. reNgine also comes with some of the most innovative features such as sub scans feature, configurable scan report (both reconnaissance and vulnerability pdf report), tools arsenal which allows updating preinstalled tools and their configurations, graphical distribution of assets, WHOIS identification, and tons of actionable insights such as most common vulnerability, most common CVE IDs, etc. The most recent versions of reNgine make it more than just a recon tool! reNgine has always aimed to fix the gap in the traditional recon tools and is probably a much better alternative for some of the commercial recon and vulnerability assessment tools.",tools/Asia/2023/rengine-an-open-source-automated-reconnaissance-attack-surface-management-tool.json
RTHunter:the High-Accuracy Reverse Symbol Recovery and Vulnerability Scanning Tool,Asia,2023,Hardware/Embedded,Minghang Shen; Chaoyang Lin; Minghao Lin; Qi Fan,,"RTOS (Real-Time Operating Systems) are widely used in critical fields such as aerospace, transportation, communication infrastructure, medical devices, oil industry, and industrial robots due to their reliability and stability. However, the real-time nature of RTOS makes the analysis threshold high, resulting in limited security research tools compared to time-sharing operating systems. RTHunter is an efficient RTOS reverse symbol recovery and vulnerability scanning tool. It collects a large number of RTOS projects and mainstream network framework projects in multiple versions, builds a firmware resource library covering dozens of mainstream RTOS systems, and builds thousands of function features and historical vulnerability function features through trace-based information methods. And by solving the slow recognition speed and accuracy problem of bindiff through trace-based fuzzy feature matching method. RTHunter can achieve more than 50% recognition accuracy on mainstream RTOS routers, and has found supply chain vulnerabilities affecting multiple brands and dozens of RTOS devices through recorded vulnerability features. RTHunter can also use personal reverse information to fill the entire database and form a custom efficient tool.",tools/Asia/2023/rthunter-the-high-accuracy-reverse-symbol-recovery-and-vulnerability-scanning.json
SCodeScanner (SourceCodeScanner),Asia,2023,Code Assessment,Utkarsh Agrawal,https://github.com/agrawalsmart7/scodescanner,"A command-line Python tool that scans source code for security vulnerabilities before deployment, supporting PHP and YAML with integrations for Jira and Slack reporting.",tools/Asia/2023/scodescanner-sourcecodescanner.json
SharpToken: Windows Token Stealing Expert,Asia,2023,Exploitation and Ethical Hacking,yichen zhang,https://github.com/beichendream/sharptoken,"During red team lateral movement, we often need to steal the permissions of other users. Under the defense of modern EDR, it is difficult for us to use Mimikatz to obtain other user permissions, and if the target user has no process alive, we have no way to use ""OpenProcessToken"" to steal Token. SharpToken is a tool for exploiting Token leaks. It can find leaked Tokens from all processes in the system and use them. If you are a low-privileged service user, you can even use it to upgrade to ""NT AUTHORITY\SYSTEM"" privileges, and you can switch to the target user's desktop to do more without the target user's password. ..",tools/Asia/2023/sharptoken-windows-token-stealing-expert.json
StegoWiper+: A Powerful and Flexible Active Attack for Disrupting Stegomalware and Advanced Stegography,Asia,2023,Malware Defense,Alfonso Muñoz; Manuel Urueña,https://github.com/mindcrypt/stegowiper,"Over the last 10 years, many threat groups have employed stegomalware or other steganography-based techniques to attack organizations from all sectors and in all regions of the world. Some examples are: APT15/Vixen Panda, APT23/Tropic Trooper, APT29/Cozy Bear, APT32/OceanLotus, APT34/OilRig, APT37/ScarCruft, APT38/Lazarus Group, Duqu Group, Turla, Vawtrack, Powload, Lokibot, Ursnif, IceID, etc. Our research shows that most groups are employing very simple techniques (at least from an academic perspective) and known tools to circumvent perimeter defenses, although more advanced groups are also using steganography to hide C&C communication and data exfiltration. We argue that this lack of sophistication is not due to the lack of knowledge in steganography (some APTs have already experimented with advanced algorithms) but simply because organizations are not able to defend themselves, even against the simplest steganography techniques. During the demonstration we will show the practical limitations of applying existing automated steganalysis techniques for companies that want to prevent infections or information theft by these threat actors. For this reason, we have created stegoWiper, a tool to blindly disrupt any image-based stegomalware, attacking the weakest point of all steganography algorithms: their robustness. We'll show that it is capable of disrupting all steganography techniques and tools (Invoke-PSImage, F5, Steghide, openstego, ...) employed nowadays. In fact, the more sophisticated a steganography technique is, the more disruption stegoWiper produces. Moreover, our active attack allows us to disrupt any steganography payload from all the images exchanged by an organization by means of a web proxy ICAP (Internet Content Adaptation Protocol) service, in real time and without having to identify which images contain hidden data first. After our presentation at BlackHat USA 2022 Arsenal we have been working on supporting, disrupting, state-of-the-art advanced algorithms available in the academic literature, based on matrix encryption, wet-papers, etc. (e.g. Hill, J-Uniward, Hugo). Especially we have paid attention to the YASS algorithm (https://pboueke.github.io/CryptoStego/) resistant to numerous active attacks and commercial CDR-type software. Finally our tool is able to defeat them.",tools/Asia/2023/stegowiper-a-powerful-and-flexible-active-attack-for-disrupting-stegomalware.json
ThreatSeeker - Threat Hunting via Windows Event Logs,Asia,2023,Data Forensics/Incident Response,Ashish Bhangale; G Khartheesvar; Arafat Ansari,https://github.com/ine-labs/ThreatSeeker,"Threat hunting using Windows logs is essential for identifying and mitigating potential security threats within an organization's network. It can be a time-consuming and painstaking process due to a large amount of data that needs to be collected and analyzed. The threat-hunting process could be repetitive. However, this process can be improved through custom scripts and tools. In this talk, we will introduce ThreatSeeker, a windows log analysis framework that allows a threat hunter to find the common threats on the machine quickly. This tool also helps a threat hunter to detect APT movements. ThreatSeeker will allow a user to detect the following attacks: - Suspicious account behavior - User Creation and Added/Removed User to Admin group - Brute Force Attack Detection on SMB, RDP, WinRM, etc. - Brute Force Attack Detection - Detection of malicious executable - Detection of PTH Attack - Suspicious service creation - Installed Service with the executable in Suspicious locations - Detection of Modifying, Starting, Disabling, and Stopping Service - Detection of special privileges assigned - Suspicious Command Auditing - Powershell with Suspicious Argument - PowerShell Downloads - Execution of Suspicious executable,, i.e., rundll32.exe, sc.exe, mshta.exe, wscript.exe, cscript.exe - Suspicious Windows Registry Modification, Addition - Many More... All the code and deployment scripts will be made open-source after the talk.",tools/Asia/2023/threatseeker-threat-hunting-via-windows-event-logs.json
tty2web,Asia,2023,Exploitation and Ethical Hacking,Vlatko Kosturjak,https://github.com/kost/tty2web,"tty2web can take any console program and convert it into a web application. It provides a proper console for your shell needs directly inside your browser, which means programs like vim, mc, or any program that needs tty will work as expected by default. Features include support for both bind and reverse mode, which is useful for penetration testing and NAT traversal, bidirectional file transfer, reverse SOCKS 5 functionality by emulating the regeorg interface, and API support for executing commands (imagine having a RESTful interface to your operating system shell). It supports collaboration and sharing between teams, is multiplatform, and runs well on Unix/Linux-based OSs running container payloads. It is based on gotty but has been heavily improved for security and penetration tester needs.",tools/Asia/2023/tty2web.json
uftrace: Dynamic Function Tracing Tool for C/C++/Rust programs,Asia,2023,Reverse Engineering,Kim MinJeong; Honggyu Kim,https://github.com/namhyung/uftrace,"uftrace is a function tracing tool that helps in the analysis of C/C++/Rust programs. It hooks into the entry and exit of each function, recording timestamps as well as the function's arguments and return values. uftrace is capable of tracing both user and kernel functions, as well as library functions and system events providing an integrated execution flow in a single timeline. Initially, uftrace only supported function tracing with compiler support. However, it now allows users to trace function calls without recompilation by analyzing instructions in each function prologue and dynamically and selectively patching those instructions. Users can also write and run scripts for each function entry and exit using python/luajit APIs to create custom tools for their specific purposes. uftrace offers various filters to reduce the amount of trace data and provides visualization using Chrome trace viewer and flame graphs, allowing for a big picture view of the execution flow. uftrace was open sourced in 2016 and has been developed at https://github.com/namhyung/uftrace.",tools/Asia/2023/uftrace-dynamic-function-tracing-tool-for-c-c-rust-programs.json
Unprotect Project: Malware Evasion Techniques,Asia,2023,Malware Defense,Thomas Roccia,https://github.com/fr0gger/unprotect,"Malware evasion consists of techniques used by malware to bypass security in place, circumvent automated and static analysis as well as avoiding detection and harden reverse engineering. There is a broad specter of techniques that can be used. In this talk we will review the history of malware evasion techniques, understand the latest trends currently used by threat actors and bolster your security analysis skills by getting more knowledge about evasion mechanisms. We will present the latest major update of the Unprotect Project an open-source documentation about malware evasion techniques. The goal will be to present the project and see how we can leverage it for use cases, including threat intelligence, malware analysis, strengthen security, train people, and extend the Mitre ATT&CK matrix. Over the years it has become a well renowned place for security researchers. During this talk we will review some of the most important update. This presentation can benefit both Blue and Red Team as it will provide knowledge and information on how malware can bypass your security in place and stay under the radar. You will learn about the intrinsic mechanisms used by attackers to compromise you without you even realizing it!",tools/Asia/2023/unprotect-project-malware-evasion-techniques.json
White Phoenix - Beating Intermittent Encryption,Asia,2023,Malware Defense,Ari Novick; Amir Landau,https://github.com/cyberark/White-Phoenix,"Intermittent Encryption (aka Partial Encryption) is a new trend in the world of ransomware. It's been adopted by many notorious groups such as BlackCat Ransomware, Play Ransomware and more. Altogether, the groups using intermittent encryption have successfully targeted hundreds of organizations in 2022 alone. However, even though intermittent encryption has its advantages, it leaves much of the content of targeted files unencrypted. In this talk, we will demonstrate a tool that uses this limitation to recover valuable data, such as text and images from documents encrypted by these groups, allowing the victims to recover some of their lost data.",tools/Asia/2023/white-phoenix-beating-intermittent-encryption.json
.NET Unpacking: When Frida Gets the JIT out of It,Asia,2024,Reverse Engineering,Yohann Sillam,https://github.com/imperva/frida-jit-unpacker,".NET-based malware families (like AgentTesla, CrimsonRat, and MassLogger, to list a few) can include obfuscation or packing that would harden analysts' work to understand and mitigate these threats effectively. Several options exist for researchers to tackle this challenge such as (but not limited to ) De4Dot, JITM (Mandiant 2020), DotDumper (Black Hat 2022), or JitHook (JSAC 2023) ... However, those solutions either don't cover the case where CLR APIs are intercepted by the packer, or do it in a very limited way. Our new tool has been developed to address this issue, adding some notable advancements that hopefully will prove its utility in the field of malware analysis. Our Frida-Jit-unPacker (FJP) tool uses a passive, less intrusive approach than previous tools, making it less likely to be detected by anti-unpacking-features. It is developed using Python3 and Frida and doesn't impose restrictions on the .NET framework version associated with the sample. The tool is not focused on specific packers, making it generic and flexible. One of its improvements compared to previously listed tools is its ability to also recover and fix original tokens from encrypted ones. In addition, this tool employs several strategies to be more covert in its operations compared to existing solutions. It achieves this by focusing on intercepting lower-level functions, less likely to set off anti-unpacking mechanisms typically employed by packers. This stealthy approach is further enhanced by disassembling the Common Language Runtime (CLR) - strategically placing hooks just before or after likely monitoring points, tactically reducing the chances of triggering packers' anti-unpacking mechanisms. These enhancements aim to assist analysts and researchers in the evolving 'cat and mouse' game of malware code protection. Hopefully, the tool will prove to be a valuable addition to the researchers' arsenal.",tools/Asia/2024/net-unpacking-when-frida-gets-the-jit-out-of-it.json
AceTheGame,Asia,2024,"Android, iOS and Mobile Hacking",Nicholas Andreas; Jeffrey Jingga; Valencia Violin; Yohan Muliono,https://github.com/KuhakuPixel/AceTheGame,"Ace The Game is an open-source hacking tool designed for manipulating the memory of Android applications enabling users to change and freeze memory values. This tool also has an interesting feature which enables users to bypass payment methods seamlessly. Notably, this tool boasts compatibility with both rooted and non-rooted Android devices.",tools/Asia/2024/acethegame.json
AI VPN: A Free-Software AI-Powered Network Forensics Tool,Asia,2024,Network Defense,Veronica Valeros; Sebastian Garcia,https://github.com/stratosphereips/AIVPN,"The AI VPN is an AI-based traffic analysis tool to detect and block threats, ensuring enhanced privacy protection automatically. It offers modular management of VPN accounts, automated network traffic analysis, and incident reporting. Using the free software IDS system Slips, the AI VPN employs machine learning and threat intelligence for comprehensive traffic analysis. Multiple VPN technologies, such as OpenVPN and Wireguard, are supported, and in-line blocking technologies like Pi-hole provide additional protection. Developed to assist journalists, activists, and NGOs in combating targeted digital attacks, the AI VPN aims to deliver a user-friendly, efficient, and automated solution for network forensics on devices without requiring physical access. Users experience seamless Internet connectivity, akin to conventional VPNs, while the AI VPN server conducts traffic analysis and reporting. The AI VPN is designed as a modular collection of micro-services using Docker technology. Ten modules currently handle diverse functionalities such as management, database operations, communication, multiple VPNs, PiHole integration, Slips, and comprehensive reporting.",tools/Asia/2024/ai-vpn-a-free-software-ai-powered-network-forensics-tool.json
AI Wargame (Arsenal Lab),Asia,2024,Arsenal Lab; Code Assessment,Pedram Hayati,https://play.secdim.com/,"Come join a fun and educational attack and defence AI wargame. You will be given an AI chatbot. Your chatbot has a secret that should always remain a secret! Your objective is to secure your chatbot to protect its secret while attacking other players' chatbots and discovering theirs. The winner is the player whose chatbot survives the longest (king of the hill). All skill levels are welcomed, even if this is your first time seeing code, securing a chatbot, or playing in a wargame.",tools/Asia/2024/ai-wargame-arsenal-lab.json
